## Symbol Dependencies
name,kind,location,is_cycle,is_static,dependencies
xmlDOMWrapCtxt,struct,include/libxml/tree.h:840,,,xmlDOMWrapAcquireNsFunction
libxml_PyFileRelease,function,python/types.c:221,,,
libxml_PyFileGet,function,python/types.c:81,,,PyObject;_invalid_parameter_handler;HANDLE;IO_STATUS_BLOCK;HMODULE;FILE_ACCESS_INFORMATION;BOOL;t_NtQueryInformationFile
libxml_charPtrWrap,function,python/types.c:255,,,PyObject
libxml_charPtrConstWrap,function,python/types.c:269,,,PyObject
libxml_constcharPtrWrap,function,python/types.c:309,,,PyObject
libxml_xmlDocPtrWrap,function,python/types.c:335,,,xmlDocPtr;PyObject
libxml_xmlNodePtrWrap,function,python/types.c:349,,,PyObject;xmlNodePtr
libxml_xmlURIPtrWrap,function,python/types.c:362,,,PyObject;xmlURIPtr
libxml_xmlNsPtrWrap,function,python/types.c:375,,,PyObject;xmlNsPtr
libxml_xmlAttrPtrWrap,function,python/types.c:388,,,PyObject;xmlAttrPtr
libxml_xmlAttributePtrWrap,function,python/types.c:401,,,PyObject;xmlAttributePtr
libxml_xmlElementPtrWrap,function,python/types.c:414,,,PyObject;xmlElementPtr
libxml_xmlParserCtxtPtrWrap,function,python/types.c:427,,,xmlParserCtxtPtr;PyObject
libxml_xmlXPathContextPtrWrap,function,python/types.c:442,,,PyObject;xmlXPathContextPtr
libxml_xmlXPathParserContextPtrWrap,function,python/types.c:455,,,PyObject;xmlXPathParserContextPtr
libxml_xmlXPathObjectPtrWrap,function,python/types.c:492,,,xmlXPathObjectPtr;PyObject;xmlNodePtr
libxml_xmlValidCtxtPtrWrap,function,python/types.c:661,,,PyObject;xmlValidCtxtPtr
libxml_xmlCatalogPtrWrap,function,python/types.c:679,,,PyObject;xmlCatalogPtr
libxml_xmlOutputBufferPtrWrap,function,python/types.c:695,,,xmlOutputBufferPtr;PyObject
libxml_xmlParserInputBufferPtrWrap,function,python/types.c:710,,,xmlParserInputBufferPtr;PyObject
libxml_xmlRegexpPtrWrap,function,python/types.c:726,,,PyObject;xmlRegexpPtr
libxml_xmlTextReaderPtrWrap,function,python/types.c:743,,,PyObject;xmlTextReaderPtr
libxml_xmlTextReaderLocatorPtrWrap,function,python/types.c:758,,,PyObject;xmlTextReaderLocatorPtr
libxml_xmlRelaxNGPtrWrap,function,python/types.c:775,,,PyObject;xmlRelaxNGPtr
libxml_xmlRelaxNGParserCtxtPtrWrap,function,python/types.c:790,,,xmlRelaxNGParserCtxtPtr;PyObject
libxml_xmlRelaxNGValidCtxtPtrWrap,function,python/types.c:804,,,PyObject;xmlRelaxNGValidCtxtPtr
libxml_xmlSchemaPtrWrap,function,python/types.c:821,,,xmlSchemaPtr;PyObject
libxml_xmlSchemaParserCtxtPtrWrap,function,python/types.c:836,,,PyObject;xmlSchemaParserCtxtPtr
libxml_xmlSchemaValidCtxtPtrWrap,function,python/types.c:852,,,PyObject;xmlSchemaValidCtxtPtr
xmlNormalizeURIPath,function,uri.c:1555,,,XMLPUBFUN
xmlURIUnescapeString,function,uri.c:1580,,,
xmlURI,struct,include/libxml/uri.h:37,,,
xmlFreeElementTable,function,valid.c:1275,,,xmlElementTable
xmlFreeAttributeTable,function,valid.c:1761,,,xmlAttributeTable
xmlFreeNotationTable,function,valid.c:2016,,,xmlNotationTable
xmlFreeIDTable,function,valid.c:2310,,,XMLPUBFUN;xmlIDTable
xmlFreeRefTable,function,valid.c:2641,,,xmlRefTable
xmlXIncludeFreeContext,function,xinclude.c:281,,,xmlXIncludeCtxt;XMLPUBFUN
xmlXIncludeGetLastError,function,xinclude.c:1975,,,xmlXIncludeCtxt;XMLPUBFUN
xmlXIncludeSetErrorHandler,function,xinclude.c:1991,,,xmlXIncludeCtxt;xmlStructuredErrorFunc;XMLPUBFUN
xmlXIncludeSetResourceLoader,function,xinclude.c:2009,,,xmlXIncludeCtxt;xmlResourceLoader;XMLPUBFUN
